MWR,01.00
53910,106.2000,35.6633,+2845.2,TK001,16,83
Record,DateTime,10,SurTem(��),SurHum(%),SurPre(hPa),Tir(��),Rain,CloudBase(km),Vint(mm),Lqint(mm),0.000(km),0.025(km),0.050(km),0.075(km),0.100(km),0.125(km),0.150(km),0.175(km),0.200(km),0.225(km),0.250(km),0.275(km),0.300(km),0.325(km),0.350(km),0.375(km),0.400(km),0.425(km),0.450(km),0.475(km),0.500(km),0.550(km),0.600(km),0.650(km),0.700(km),0.750(km),0.800(km),0.850(km),0.900(km),0.950(km),1.000(km),1.050(km),1.100(km),1.150(km),1.200(km),1.250(km),1.300(km),1.350(km),1.400(km),1.450(km),1.500(km),1.550(km),1.600(km),1.650(km),1.700(km),1.750(km),1.800(km),1.850(km),1.900(km),1.950(km),2.000(km),2.250(km),2.500(km),2.750(km),3.000(km),3.250(km),3.500(km),3.750(km),4.000(km),4.250(km),4.500(km),4.750(km),5.000(km),5.250(km),5.500(km),5.750(km),6.000(km),6.250(km),6.500(km),6.750(km),7.000(km),7.250(km),7.500(km),7.750(km),8.000(km),8.250(km),8.500(km),8.750(km),9.000(km),9.250(km),9.500(km),9.750(km),10.000(km),QCflag
505,2026-03-03 20:33:00,11,17.50,100.00,980.00,20.69,1,0.30,48.61,4.53,17.500,17.479,17.374,17.371,17.353,17.270,17.273,17.255,17.226,17.145,17.121,17.086,17.103,17.032,17.021,16.995,16.913,16.917,16.949,16.838,16.845,16.759,16.683,16.653,16.484,16.395,16.301,16.164,16.108,15.949,15.838,15.768,15.606,15.535,15.327,15.256,15.143,15.071,14.843,14.588,14.313,14.164,13.883,13.597,13.442,13.165,12.960,12.682,12.441,12.233,11.999,10.851,9.658,8.454,7.283,5.927,4.614,3.204,1.926,0.566,-0.735,-2.109,-3.513,-4.823,-6.121,-7.501,-9.070,-10.499,-12.035,-13.544,-15.000,-16.545,-18.100,-19.864,-21.597,-23.259,-25.032,-26.716,-28.444,-30.155,-31.867,-33.715,-35.552,0
506,2026-03-03 20:33:00,12,17.50,100.00,980.00,20.69,1,0.30,48.61,4.53,14.904,14.886,14.793,14.790,14.774,14.701,14.703,14.688,14.662,14.591,14.571,14.527,14.504,14.465,14.408,14.377,14.274,14.258,14.281,14.178,14.157,14.077,13.966,13.985,13.821,13.709,13.630,13.482,13.415,13.256,13.131,13.062,12.907,12.823,12.671,12.582,12.473,12.361,12.168,11.920,11.680,11.523,11.278,11.060,10.903,10.707,10.508,10.283,10.124,9.929,9.759,8.914,8.085,7.424,6.760,6.187,5.652,5.136,4.685,4.266,3.873,3.469,3.088,2.777,2.501,2.222,1.883,1.619,1.386,1.183,1.010,0.853,0.720,0.597,0.496,0.416,0.341,0.282,0.231,0.191,0.156,0.126,0.104,0
507,2026-03-03 20:33:00,13,17.50,100.00,980.00,20.69,1,0.30,48.61,4.53,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.909,99.655,99.806,99.475,99.423,99.191,99.063,99.028,98.968,98.781,98.731,98.400,98.716,98.554,98.277,98.270,98.006,97.849,97.619,97.357,97.256,97.048,96.831,96.900,96.630,96.458,96.015,95.839,95.352,95.016,94.608,94.207,94.016,93.572,93.476,92.905,92.503,92.443,91.850,91.601,89.914,87.941,87.219,85.649,85.639,85.321,85.175,84.698,84.630,84.659,84.580,84.295,84.316,84.468,84.123,81.337,78.948,77.099,75.004,72.772,70.566,68.466,66.724,65.023,63.748,61.821,60.204,58.421,57.092,55.572,54.409,54.006,0
508,2026-03-03 20:33:00,14,17.50,100.00,980.00,20.69,1,0.30,48.61,4.53,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.051,0.028,0.077,0.084,0.117,0.136,0.141,0.149,0.176,0.182,0.229,0.183,0.204,0.242,0.242,0.276,0.297,0.326,0.359,0.371,0.396,0.423,0.408,0.442,0.462,0.517,0.532,0.585,0.617,0.662,0.699,0.709,0.754,0.753,0.808,0.839,0.833,0.887,0.901,1.006,1.116,1.094,1.139,1.043,0.977,0.898,0.850,0.778,0.705,0.635,0.577,0.518,0.461,0.420,0.433,0.433,0.412,0.395,0.378,0.356,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
509,2026-03-03 20:33:15,11,17.50,100.00,979.60,25.50,1,0.30,51.95,4.59,17.500,17.496,17.407,17.406,17.400,17.322,17.321,17.315,17.296,17.218,17.198,17.172,17.197,17.131,17.126,17.107,17.030,17.036,17.076,16.976,16.985,16.907,16.845,16.819,16.659,16.565,16.462,16.321,16.262,16.105,15.986,15.911,15.745,15.664,15.457,15.383,15.272,15.193,14.958,14.696,14.422,14.268,13.988,13.697,13.538,13.256,13.054,12.768,12.527,12.318,12.084,10.920,9.708,8.489,7.311,5.948,4.628,3.222,1.938,0.575,-0.728,-2.101,-3.509,-4.824,-6.123,-7.502,-9.071,-10.506,-12.047,-13.550,-15.014,-16.559,-18.116,-19.880,-21.611,-23.269,-25.048,-26.735,-28.457,-30.168,-31.887,-33.726,-35.569,0
510,2026-03-03 20:33:15,12,17.50,100.00,979.60,25.50,1,0.30,51.95,4.59,14.904,14.901,14.822,14.821,14.815,14.746,14.746,14.741,14.724,14.655,14.619,14.561,14.554,14.502,14.454,14.436,14.329,14.281,14.324,14.201,14.212,14.090,14.004,13.960,13.827,13.730,13.624,13.491,13.418,13.300,13.133,13.081,12.939,12.821,12.687,12.610,12.514,12.392,12.198,11.927,11.703,11.532,11.298,11.095,10.925,10.716,10.529,10.310,10.121,9.957,9.776,8.925,8.110,7.419,6.762,6.158,5.624,5.104,4.667,4.252,3.856,3.456,3.086,2.776,2.500,2.217,1.868,1.595,1.345,1.132,0.950,0.789,0.659,0.550,0.457,0.384,0.317,0.263,0.217,0.180,0.148,0.122,0.100,0
511,2026-03-03 20:33:15,13,17.50,100.00,979.60,25.50,1,0.30,51.95,4.59,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.872,99.633,99.433,99.468,99.166,99.156,98.880,98.513,98.576,98.311,98.338,97.950,97.716,97.562,97.563,97.428,97.281,97.145,96.967,97.030,96.500,96.555,96.470,96.060,96.257,96.106,96.023,95.537,95.402,94.786,94.570,94.074,93.760,93.735,93.212,93.027,92.559,92.247,91.928,91.618,91.273,89.633,87.935,86.962,85.520,85.128,84.820,84.543,84.297,84.291,84.233,84.202,84.209,84.300,84.450,83.967,80.673,77.828,74.899,71.825,68.572,65.318,62.800,61.496,60.047,58.984,57.589,56.273,54.995,53.957,52.777,52.392,52.244,0
512,2026-03-03 20:33:15,14,17.50,100.00,979.60,25.50,1,0.30,51.95,4.59,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.054,0.084,0.078,0.122,0.124,0.164,0.217,0.209,0.246,0.242,0.297,0.330,0.352,0.348,0.365,0.384,0.400,0.423,0.410,0.480,0.470,0.477,0.530,0.497,0.515,0.522,0.583,0.592,0.661,0.677,0.732,0.758,0.747,0.801,0.809,0.852,0.873,0.895,0.917,0.941,1.039,1.120,1.119,1.151,1.082,1.012,0.938,0.873,0.796,0.725,0.651,0.581,0.519,0.462,0.424,0.448,0.455,0.452,0.445,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
513,2026-03-03 20:33:30,11,17.50,100.00,979.80,33.10,1,0.30,51.58,1.24,17.500,17.496,17.407,17.406,17.400,17.322,17.321,17.315,17.296,17.218,17.198,17.172,17.197,17.131,17.126,17.107,17.030,17.036,17.076,16.976,16.985,16.907,16.845,16.819,16.659,16.565,16.462,16.321,16.262,16.105,15.986,15.911,15.745,15.664,15.457,15.383,15.272,15.193,14.958,14.696,14.422,14.268,13.988,13.697,13.538,13.256,13.054,12.768,12.527,12.318,12.084,10.920,9.708,8.489,7.311,5.948,4.628,3.222,1.938,0.575,-0.728,-2.101,-3.509,-4.824,-6.123,-7.502,-9.071,-10.506,-12.047,-13.550,-15.014,-16.559,-18.116,-19.880,-21.611,-23.269,-25.048,-26.735,-28.457,-30.168,-31.887,-33.726,-35.569,0
514,2026-03-03 20:33:30,12,17.50,100.00,979.80,33.10,1,0.30,51.58,1.24,14.904,13.608,13.033,13.717,12.224,13.113,11.656,12.808,12.229,11.742,10.583,11.115,11.248,10.457,10.615,10.710,9.816,8.618,8.905,7.683,8.679,6.828,7.306,5.034,4.985,5.320,4.384,3.940,3.752,4.724,3.090,3.387,3.682,2.019,2.459,2.800,2.739,2.097,2.267,1.597,2.149,1.837,2.095,2.296,2.069,1.801,2.348,2.413,1.931,2.208,1.942,1.682,1.515,0.741,0.914,2.475,4.615,5.637,5.536,5.045,4.578,4.104,3.665,3.293,2.960,2.640,2.310,2.042,1.787,1.566,1.375,1.196,1.034,0.873,0.739,0.630,0.530,0.449,0.378,0.299,0.225,0.187,0.150,0
